zerocross,ktosis,rms,peaks,mean,mean_abs,std,median,skewness,crest,entrpy,energy,shapiro,kl,rkl,abs_acc_5,max_freq,max_abs,shape,impulse,p2p
6,-0.4590544082499197,0.10046724,0.435546875,-0.09459074,0.09463376,0.03385645,0.09577946,0.10301739333589537,1.9049938,5.61970913906526,20.67183,0.9947022795677185,0.009516892838999933,0.009894146735997715,0.18004283,193,0.19138947,1.0616428,2.0224228,0.224799
4,-0.4617960690757599,0.10064635,0.4267578125,-0.09486772,0.094902016,0.033612538,0.095948294,0.12376048245304719,1.8079989,5.701896471530286,20.7456,0.9948680996894836,0.007482590952632941,0.007443697526763368,0.17982921,194,0.18196848,1.0605291,1.9174353,0.20188163
4,-0.5355000193653212,0.102024205,0.42578125,-0.09622363,0.09625217,0.033910915,0.09633346,0.08979814147297907,2.000266,5.586188673490051,21.317505,0.9932681918144226,0.013575349740091613,0.01435435279669801,0.18815525,197,0.20407555,1.0599678,2.1202176,0.23245052
6,-0.4741992605336991,0.10137171,0.42822265625,-0.095603794,0.09561658,0.033706665,0.09767115,0.14234012710295676,1.8663017,5.728444896356317,21.045708,0.9945032596588135,0.00833724202552719,0.00842234296764824,0.1823459,195,0.1891902,1.0601897,1.9786338,0.19771516
0,-0.5598871708319204,0.100931786,0.42529296875,-0.09513042,0.09513042,0.033725776,0.09602092,0.0793566372752155,1.8631288,5.787367655658365,20.863438,0.9939655661582947,0.008572703294939059,0.00858487329267129,0.18336539,194,0.18804891,1.0609833,1.9767485,0.18602407
4,-0.31489797658128715,0.10180972,0.43505859375,-0.09589486,0.095915586,0.03419639,0.09758262,0.08232707296066749,2.1511977,5.57106206908509,21.227966,0.9967854619026184,0.006727817840062519,0.00690813549480401,0.19980025,196,0.21901283,1.0614512,2.2833915,0.2396069
6,-0.506585579583922,0.10166255,0.431640625,-0.095553145,0.09556656,0.03471124,0.09674093,0.07762198841437418,1.8907146,5.750758826332431,21.16664,0.9948179721832275,0.00854994445597208,0.008395420752560872,0.18758875,195,0.19221486,1.0637878,2.0113192,0.19824865
6,-0.34964603200495725,0.10163616,0.4326171875,-0.09597933,0.09598835,0.03343464,0.09603602,0.055912208194411034,1.9937172,5.67812503748922,21.155651,0.9974913597106934,0.004794720292477267,0.004800362106979884,0.19106226,196,0.20263375,1.0588385,2.1110244,0.21014643
0,-0.5339991398818995,0.10170883,0.431640625,-0.095850155,0.095850155,0.03402109,0.09658613,0.05881293093515855,1.8865334,5.7756231822174815,21.185917,0.99473637342453,0.008142470375281324,0.008150335441609861,0.18379557,196,0.1918771,1.0611233,2.0018444,0.1915371
10,-0.5088320618364186,0.10083446,0.431640625,-0.09477462,0.094828516,0.03442903,0.096449755,0.09960352001963625,1.8276227,5.667971784446834,20.82322,0.9939687252044678,0.009579314119549234,0.009545662813977028,0.18064794,194,0.18428734,1.0633348,1.9433748,0.21125546
2,-0.32961873390065444,0.101066165,0.43798828125,-0.09535023,0.09535387,0.03350678,0.09623864,0.09130009160119947,2.135859,5.635901046084429,20.91903,0.9971040487289429,0.005356577666604117,0.005602138188105249,0.19180593,195,0.21586308,1.0599062,2.2638104,0.21959232
2,-0.47010720074771095,0.10105918,0.4365234375,-0.09509638,0.09510136,0.034199946,0.095575556,0.07191044213745795,2.126827,5.659329635694197,20.916138,0.9953245520591736,0.00898029555275796,0.009895407815461697,0.18885991,194,0.21493539,1.0626471,2.2600665,0.22003208
6,-0.428072676437496,0.100922175,0.43017578125,-0.09497176,0.0950049,0.034141593,0.09594281,0.09600639187566709,1.9456276,5.631245752626109,20.859465,0.9955857992172241,0.008442816030038894,0.008570585353805792,0.18755223,194,0.19635697,1.0622839,2.0668087,0.22484212
10,-0.39505926029057603,0.10121451,0.4306640625,-0.09532801,0.09534386,0.03401393,0.095289856,0.13106271283503498,1.9361354,5.720117951977216,20.980484,0.9956100583076477,0.0074385541302968185,0.00751536982094756,0.1860407,195,0.195965,1.0615735,2.05535,0.20350708
6,-0.3961863570061981,0.101498015,0.435546875,-0.095597826,0.0956215,0.034101367,0.09584998,0.04229291438392944,1.9133382,5.716146247491944,21.098183,0.9969615936279297,0.005331188588494425,0.0053151032924459015,0.18758705,195,0.19420002,1.0614561,2.0309243,0.20393519
10,-0.438657432727247,0.10237431,0.4287109375,-0.095737666,0.095789045,0.03626015,0.096015394,0.09733708182506373,1.972526,5.690289326335838,21.464062,0.9958927631378174,0.007166076303912969,0.007126412496026166,0.19391842,196,0.20193598,1.0687475,2.1081324,0.2249851
6,-0.49625266735626816,0.10168965,0.42578125,-0.09576971,0.0957938,0.034189887,0.09645227,0.022867542412397555,1.8342423,5.694411461107036,21.177929,0.9954737424850464,0.007348941796251936,0.007510154496522875,0.1833924,196,0.18652347,1.0615473,1.9471351,0.20432578
6,-0.46535349291140493,0.10194673,0.43505859375,-0.09569631,0.09571504,0.035147574,0.096856214,0.06825906835322705,2.1758354,5.627299059239958,21.285141,0.9949330687522888,0.010274598901199196,0.01073352657102431,0.19482262,195,0.2218193,1.0651066,2.3174968,0.23318897
8,-0.451793007400934,0.100511976,0.4384765625,-0.094574936,0.0945951,0.034032907,0.09571947,0.06681598168130648,1.9221377,5.704161106641566,20.690243,0.9962624907493591,0.006295707458313437,0.006393132562591345,0.18470702,193,0.19319786,1.0625495,2.0423665,0.2076365
4,-0.43167102425973747,0.10186651,0.43798828125,-0.09600539,0.09604336,0.03405512,0.097487256,0.09464607446344546,2.0423467,5.588150851563151,21.251657,0.9951316714286804,0.010249697275411982,0.010738662101641224,0.18886109,196,0.20804675,1.0606304,2.1661751,0.23317018
0,-0.5076699275483811,0.10124441,0.4326171875,-0.09531444,0.09531444,0.034140717,0.095826335,0.09238661602955733,2.1159177,5.695195138573651,20.992882,0.9941899180412292,0.009758449117714903,0.010032299960025692,0.19102474,195,0.21422485,1.0622149,2.247559,0.20998663
4,-0.4718819741031681,0.10151527,0.43310546875,-0.09546349,0.09549288,0.034526393,0.096266426,0.06475968141950693,1.8576304,5.703184203319528,21.105358,0.9958917498588562,0.006487188250998269,0.006618465704879995,0.18520981,195,0.18857785,1.0630664,1.9747844,0.21174964
8,-0.4535482811529934,0.100727506,0.43115234375,-0.094545715,0.094575375,0.034743898,0.09519973,0.10870366000874145,1.8324202,5.770206183766112,20.77907,0.9955433011054993,0.005776454752033998,0.005715071495473605,0.18156107,193,0.18457513,1.06505,1.9516193,0.19738021
8,-0.3145233955271136,0.1010734,0.43310546875,-0.094944805,0.09499955,0.03466003,0.09576994,0.1000938795884298,2.0083385,5.659350451526425,20.922024,0.9974738359451294,0.004560246906385181,0.004636340121183915,0.19175264,194,0.2029896,1.0639355,2.1367426,0.22238547
